in s,C1 in V
-1.2000037E+00,-1.312866E-03
-1.1999854E+00,-3.296509E-03
-1.1999670E+00,-3.449097E-03
-1.1999487E+00,-2.228394E-03
-1.1999304E+00,-2.228394E-03
-1.1999121E+00,-3.754272E-03
-1.1998938E+00,-3.143921E-03
-1.1998755E+00,-1.618042E-03
-1.1998572E+00,-3.754272E-03
-1.1998389E+00,-3.449097E-03
-1.1998206E+00,-7.025146E-04
-1.1998022E+00,-7.025146E-04
-1.1997839E+00,-2.991333E-03
-1.1997656E+00,-2.533569E-03
-1.1997473E+00,-1.312866E-03
-1.1997290E+00,-2.075806E-03
-1.1997107E+00,-3.296509E-03
-1.1996924E+00,-2.380981E-03
-1.1996741E+00,-1.770630E-03
-1.1996557E+00,-2.533569E-03
-1.1996374E+00,-3.601685E-03
-1.1996191E+00,-2.075806E-03
-1.1996008E+00,-7.025146E-04
-1.1995825E+00,-1.465454E-03
-1.1995642E+00,-2.686157E-03
-1.1995459E+00,-1.007690E-03
-1.1995276E+00,-1.770630E-03
-1.1995092E+00,-4.059448E-03
-1.1994909E+00,-2.991333E-03
-1.1994726E+00,-1.312866E-03
-1.1994543E+00,-2.533569E-03
-1.1994360E+00,-4.212036E-03
-1.1994177E+00,-3.601685E-03
-1.1993994E+00,-3.449097E-03
-1.1993811E+00,-6.043091E-03
-1.1993628E+00,-6.653442E-03
-1.1993444E+00,-5.127563E-03
-1.1993261E+00,-5.280151E-03
-1.1993078E+00,-7.263794E-03
-1.1992895E+00,-7.568970E-03
-1.1992712E+00,-5.890503E-03
-1.1992529E+00,-6.043091E-03
-1.1992346E+00,-7.416382E-03
-1.1992163E+00,-8.026733E-03
-1.1991979E+00,-6.195679E-03
-1.1991796E+00,-7.721558E-03
-1.1991613E+00,-8.789673E-03
-1.1991430E+00,-6.806030E-03
-1.1991247E+00,-5.890503E-03
-1.1991064E+00,-7.416382E-03
-1.1990881E+00,-8.179321E-03
-1.1990698E+00,-6.958618E-03
-1.1990514E+00,-7.111206E-03
-1.1990331E+00,-9.247437E-03
-1.1990148E+00,-9.094849E-03
-1.1989965E+00,-6.958618E-03
-1.1989782E+00,-8.026733E-03
-1.1989599E+00,-8.026733E-03
-1.1989416E+00,-6.500854E-03
-1.1989233E+00,-4.059448E-03
-1.1989050E+00,-4.669800E-03
-1.1988866E+00,-4.669800E-03
-1.1988683E+00,-3.296509E-03
-1.1988500E+00,-2.075806E-03
-1.1988317E+00,-4.364624E-03
-1.1988134E+00,-3.601685E-03
-1.1987951E+00,-2.075806E-03
-1.1987768E+00,-4.212036E-03
-1.1987585E+00,-5.737915E-03
-1.1987401E+00,-4.669800E-03
-1.1987218E+00,-3.449097E-03
-1.1987035E+00,-3.754272E-03
-1.1986852E+00,-5.280151E-03
-1.1986669E+00,-4.364624E-03
-1.1986486E+00,-2.380981E-03
-1.1986303E+00,-4.974976E-03
-1.1986120E+00,-6.043091E-03
-1.1985936E+00,-2.838745E-03
-1.1985753E+00,-1.160278E-03
-1.1985570E+00,-2.533569E-03
